protein1,protein2,combined_score,protein1_original_name,protein2_original_name
9606.ENSP00000248975,9606.ENSP00000263934,414,YWHAH,KIF1B
9606.ENSP00000249071,9606.ENSP00000453508,163,RAC2,TLN2
9606.ENSP00000249071,9606.ENSP00000267113,543,RAC2,ESYT1
9606.ENSP00000249071,9606.ENSP00000267622,163,RAC2,TRIP11
9606.ENSP00000249071,9606.ENSP00000363435,163,RAC2,ITPR3
9606.ENSP00000249071,9606.ENSP00000424226,163,RAC2,TENM3
9606.ENSP00000249071,9606.ENSP00000263088,809,RAC2,PLD2
9606.ENSP00000249299,9606.ENSP00000359454,307,LSM8,HFM1
9606.ENSP00000249356,9606.ENSP00000397269,165,DNAJB9,FAM136A
9606.ENSP00000249363,9606.ENSP00000467537,388,LRRC4,PTPRS
9606.ENSP00000249700,9606.ENSP00000265709,475,TMOD2,ANK1
9606.ENSP00000249749,9606.ENSP00000293879,171,DLL4,WDR90
9606.ENSP00000249910,9606.ENSP00000496129,173,MBD4,PRKCB
9606.ENSP00000249910,9606.ENSP00000257430,198,MBD4,APC
9606.ENSP00000250111,9606.ENSP00000265316,720,ATP1B2,ABCB6
9606.ENSP00000250351,9606.ENSP00000300231,171,KLK12,MAP1A
9606.ENSP00000250351,9606.ENSP00000293879,167,KLK12,WDR90
9606.ENSP00000250378,9606.ENSP00000293879,167,CMA1,WDR90
9606.ENSP00000250416,9606.ENSP00000234420,165,PARP2,MSH6
9606.ENSP00000250448,9606.ENSP00000448012,292,FOXA1,CEP290
9606.ENSP00000250448,9606.ENSP00000441214,292,FOXA1,USP36
9606.ENSP00000250448,9606.ENSP00000325827,292,FOXA1,SEC16A
9606.ENSP00000250495,9606.ENSP00000254846,179,NEDD8,KDM6B
9606.ENSP00000250559,9606.ENSP00000453508,400,RAP1B,TLN2
9606.ENSP00000250617,9606.ENSP00000313420,292,ARHGEF6,PRKDC
9606.ENSP00000251047,9606.ENSP00000363435,163,LMAN1,ITPR3
9606.ENSP00000251047,9606.ENSP00000325827,499,LMAN1,SEC16A
9606.ENSP00000251047,9606.ENSP00000267113,161,LMAN1,ESYT1
9606.ENSP00000251127,9606.ENSP00000296266,183,NALCN,IFT122
9606.ENSP00000251157,9606.ENSP00000294618,420,DOCK7,DOCK6
9606.ENSP00000251157,9606.ENSP00000325827,292,DOCK7,SEC16A
9606.ENSP00000251157,9606.ENSP00000394888,745,DOCK7,DOCK8
9606.ENSP00000251268,9606.ENSP00000231509,165,MEGF8,NR3C1
9606.ENSP00000251268,9606.ENSP00000429015,540,MEGF8,ANKRD46
9606.ENSP00000251268,9606.ENSP00000375881,165,MEGF8,ALPP
9606.ENSP00000251268,9606.ENSP00000260950,163,MEGF8,MSTN
9606.ENSP00000251268,9606.ENSP00000295453,204,MEGF8,ALPG
9606.ENSP00000251268,9606.ENSP00000295900,292,MEGF8,ATXN7
9606.ENSP00000251268,9606.ENSP00000297591,292,MEGF8,VIRMA
9606.ENSP00000251268,9606.ENSP00000349168,292,MEGF8,HNRNPH1
9606.ENSP00000251268,9606.ENSP00000489829,292,MEGF8,CACNA1A
9606.ENSP00000251268,9606.ENSP00000469981,165,MEGF8,TAZ
9606.ENSP00000251268,9606.ENSP00000269391,292,MEGF8,RNF157
9606.ENSP00000251268,9606.ENSP00000262370,871,MEGF8,MGRN1
9606.ENSP00000251268,9606.ENSP00000343924,165,MEGF8,PRELP
9606.ENSP00000251268,9606.ENSP00000308970,585,MEGF8,PSG1
9606.ENSP00000251268,9606.ENSP00000269593,163,MEGF8,IGFBP4
9606.ENSP00000251268,9606.ENSP00000305005,602,MEGF8,PSG8
9606.ENSP00000251268,9606.ENSP00000332215,573,MEGF8,PSG3
9606.ENSP00000251303,9606.ENSP00000365588,225,SLX1A,MDC1
9606.ENSP00000251412,9606.ENSP00000371308,540,TUBG2,CENPJ
9606.ENSP00000251413,9606.ENSP00000254846,292,TUBG1,KDM6B
9606.ENSP00000251413,9606.ENSP00000371308,739,TUBG1,CENPJ
9606.ENSP00000251535,9606.ENSP00000200181,851,ALOX12,ITGB4
9606.ENSP00000251595,9606.ENSP00000473469,198,HBA2,DENND4C
